Descriptor,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5
almond,key.lime.pie,sparkling.cider,raw.sugar,pacamara,Country_Peru
almond.cake,almond.cake,red.bourbon,plum,Country_El Salvador,Roast_Light-Medium
almond.toffee,dried.fruit,castillo,colombia,typica,Country_Colombia
apple,darjeeling.tea,pacamara,lemon,Country_El Salvador,raspberry
apricot,bergamot,ruiru.11,plum,sl28,sl34
arusha,mundo.novo,fudge,walnut,Country_Papua New Guinea,black.cherry
baitan,ruiru.11,juicy,red.berries,tomato,round
baker.s.chocolate,baker.s.chocolate,Country_El Salvador,raspberry,Process_Natural,Roast_NA
bergamot,gesha.m2,white.cherry,apricot,ruiru.11,jasmine
berry,tropical.fruits,berry,kiwi,Country_Ecuador,Roast_Light
berry.fruit,ripe.fruit,Country_NA,milk.chocolate,Roast_Medium,Process_Washed
bittersweet.chocolate,roasted.almonds,tangerine,Country_NA,Process_Various,Roast_Medium
black.cherry,arusha,mundo.novo,fudge,walnut,Country_Brazil/Colombia/Honduras
black.currant,sl28,sl34,Country_Kenya,nougat,blueberry
black.tea,red.bourbon,semi.sweet.chocolate,raw.honey,papaya,Country_Burundi
blackberry,pacas,lychee,pomegranate,lemongrass,jammy
blend,dark.cherry,syrup,toasted.marshmallow,Country_Colombia/Ethiopia/Kenya,Country_Uganda/Papua New Guinea/Sumatra
blueberry,golden.raisin,wild.berries,cocoa.butter,"Country_Ethiopia/Uganda
",black.currant
bourbon,Process_Washed,typica,Roast_Light-Medium,caturra,Country_Peru
brown.apple,sugar,Country_Mexico,cherry,typica,Roast_NA
brown.sugar,illubabor.forest,tropical.fruit,pecan,Country_El Salvador,catuai
butterscotch,lemon.zest,vanilla,Country_Guatemala,catuai,caturra
cacao,cacao,sugar.cane,typica,Country_Colombia,Roast_NA
candied.sweetness,candied.sweetness,Country_Costa Rica,vanilla,catuai,Roast_NA
caramel,Process_NA,Country_Colombia,caturra,castillo,colombia
castillo,caturra,colombia,almond.toffee,Country_Colombia,dried.fruit
catimor,lime,castillo,milk.chocolate,Country_Colombia,caturra
catuai,red.grape,candied.sweetness,pecan,nut,butterscotch
catuai..red.,maple,lemon.zest,Country_Costa Rica,Process_Honey,cherry
caturra,Country_Colombia,castillo,Process_Washed,colombia,typica
cherry,Process_Natural,sudan.rume,catuai..red.,mango,brown.apple
cherry.cola,cherry.cola,colombia,Country_Colombia,Roast_Light,Process_Washed
chocolate,Process_Various,rich,full.bodied,dark.cherry,fruit.preserves
chocolate.fudge,chocolate.fudge,cinnamon,molasses,Process_Natural,Roast_NA
cinnamon,chocolate.fudge,cinnamon,molasses,Process_Natural,Roast_NA
citrus,Country_Ethiopia,spice,fruity,vanilla,Roast_Light
clementine,green.apple,honey,grape,caturra,cocoa
clove,java,yellow.bourbon,raisin,peach,Roast_Medium-Dark
cocoa,dates,pecans,honeycomb,toasted.marshmallow,Country_Uganda/Papua New Guinea/Sumatra
cocoa.butter,cocoa.butter,blueberry,cherry,caramel,Country_Colombia
cola,baker.s.chocolate,Country_El Salvador,raspberry,Process_Natural,Roast_NA
colombia,Country_Colombia,castillo,almond.toffee,caturra,pear
cranberry,villalobos,pomegranate,lemongrass,Country_Colombia,dark.chocolate
creamy,creamy,Country_Mexico,dried.fruit,typica,bourbon
custard,Country_Rwanda,fig,red.bourbon,orange,Roast_NA
darjeeling.tea,apple,citrus,heirloom,Country_Ethiopia,Roast_Medium
dark.cherry,orange.peel,blend,Country_Panama,chocolate,Roast_Medium
dark.chocolate,villalobos,key.lime.pie,red.wine,Country_Brazil/Colombia,catuai
dark.honey,pomelo,dark.honey,floral,Country_Colombia,Roast_Light
dates,pecans,orange,cocoa,typica,Country_Colombia
dried.cherry,smooth,Country_Ecuador,hazelnut,Roast_Medium-Dark,caturra
dried.fruit,almond.toffee,castillo,shortbread.cookie,creamy,toffee
dried.papaya,raisin,Country_Peru,milk.chocolate,typica,Roast_NA
earl.grey,graham.cracker,peach,heirloom,Country_Ethiopia,Roast_Light
fig,custard,honeycomb,yellow.bourbon,Country_Rwanda,pacamara
figs,figs,silky,Country_Rwanda,Process_Natural,bourbon
floral,pink.bourbon,lime,juicy,pomelo,dark.honey
fresh.butter,fresh.butter,honey,Country_Guatemala,bourbon,Roast_Light-Medium
fruit.preserves,Process_NA,Country_NA,caramel,chocolate,Roast_NA
fruity,gesha.1931,maracaturra,citrus,syrup,Country_Colombia/Ethiopia/Kenya
fudge,mundo.novo,fudge,walnut,Country_Papua New Guinea,black.cherry
full.bodied,full.bodied,Country_Central & South America,Process_Various,chocolate,bourbon
gesha,hyacinth,mango,Country_Guatemala,pineapple,lavender
gesha.1931,fruity,vanilla,citrus,Country_Ethiopia,Process_Natural
gesha.m2,white.cherry,bergamot,jasmine,Country_Costa Rica,Process_Honey
golden.raisin,"Country_Ethiopia/Uganda
",various,blueberry,lemon,Process_Various
graham.cracker,earl.grey,toasted.marshmallow,Country_Uganda/Papua New Guinea/Sumatra,red.currant,blend
grape,heavy,clementine,Country_Panama,Process_NA,strawberry
grapefruit,jammy,strawberry,sl28,sl34,blackberry
green.apple,clementine,honey,Country_NA,castillo,caturra
green.grape,figs,silky,Country_Rwanda,Process_Natural,bourbon
hazelnut,dried.cherry,Country_Ecuador,Country_Honduras,blueberry,honey
heavy,Country_Brazil/Colombia/Honduras,black.cherry,grape,Country_Panama,Process_NA
heirloom,Country_Ethiopia,citrus,hops,yuzu,earl.grey
honey,clementine,orange.blossom,fresh.butter,green.apple,blackberry
honeycomb,yellow.bourbon,fig,cocoa,Process_Natural,Roast_Medium
honeydew,Process_Lactic Acid,strawberry,castillo,caramel,Country_Colombia
honeysuckle,sudan.rume,landraces,watermelon,nectarine,orange
hops,lemon,heirloom,Country_Ethiopia,Roast_NA,Process_Washed
hyacinth,pineapple,gesha,peach,Country_Guatemala,Roast_Light
illubabor.forest,tropical.fruit,brown.sugar,citrus,Country_Ethiopia,Roast_Light
jammy,grapefruit,sl28,sl34,blackberry,Country_Kenya
jasmine,gesha.m2,mango,white.cherry,yuzu,bergamot
java,raisin,clove,peach,Country_Guatemala,Roast_Light-Medium
juicy,baitan,ruiru.11,floral,sl28,sl34
key.lime.pie,almond,pacamara,dark.chocolate,Country_El Salvador,Roast_Light
kiwi,sidra,tropical.fruits,berry,lavender,Country_Ecuador
landraces,watermelon,nectarine,honeysuckle,Country_Ethiopia,Roast_Light-Medium
lavender,kiwi,gesha,red.bourbon,black.tea,Country_Burundi
lemon,villalobos,hops,golden.raisin,semi.sweet.chocolate,"Country_Ethiopia/Uganda
"
lemon.zest,catuai..red.,maple,butterscotch,Country_Costa Rica,Process_Honey
lemongrass,lemongrass,cranberry,blackberry,typica,Country_Colombia
lime,catimor,floral,orange.peel,Country_Central & South America,milk.chocolate
lychee,lychee,Country_Honduras,orange,blackberry,Roast_Light
mango,gesha,jasmine,Country_Panama,cherry,Process_Natural
maple,maple,lemon.zest,Country_Costa Rica,Process_Honey,cherry
maracaturra,Country_Nicaragua,fruity,vanilla,citrus,Roast_Light
marsellesa,Country_Mexico,vanilla,citrus,milk.chocolate,typica
milk.chocolate,Process_Washed,Roast_Medium,ripe.fruit,Country_Peru,marsellesa
mixed.berry,Country_Congo,pineapple,sweet,bourbon,Roast_Medium
mixed.nuts,mixed.nuts,sweet.cocoa,Country_NA,Process_Various,Roast_NA
molasses,red.catuai,chocolate.fudge,cinnamon,Country_Brazil/Colombia,Country_Ethiopia/Sumatra/Peru
mundo.novo,mundo.novo,fudge,walnut,Country_Papua New Guinea,black.cherry
nectarine,watermelon,nectarine,honeysuckle,Country_Ethiopia,Roast_Light-Medium
nougat,black.currant,tangerine,sl28,sl34,Country_El Salvador
nut,ripe.fruit,Country_Peru,catuai,milk.chocolate,typica
orange,sudan.rume,pacas,lychee,custard,dates
orange.blossom,fresh.butter,honey,Country_Guatemala,bourbon,Roast_Light-Medium
orange.peel,dark.cherry,Country_Central & South America,blend,lime,Country_Panama
pacamara,Country_El Salvador,key.lime.pie,almond,apple,fig
pacas,lychee,Country_Honduras,orange,blackberry,Roast_Light
papaya,papaya,plum,black.tea,Country_Colombia,caturra
peach,java,hyacinth,pear,earl.grey,Country_Guatemala
peach.ice.cream,almond.cake,red.bourbon,plum,Country_El Salvador,Roast_Light-Medium
pear,Process_Honey,orange,peach,colombia,Country_Colombia
pecan,brown.sugar,Country_El Salvador,catuai,milk.chocolate,bourbon
pecans,pecans,orange,cocoa,typica,Country_Colombia
pineapple,hyacinth,mixed.berry,Country_Congo,sweet,gesha
pink.bourbon,pomelo,dark.honey,floral,Country_Colombia,Roast_Light
plum,apricot,raw.honey,papaya,peach.ice.cream,almond.cake
pomegranate,lemongrass,cranberry,blackberry,typica,Country_Colombia
pomelo,pomelo,dark.honey,floral,Country_Colombia,Roast_Light
raisin,java,dried.papaya,clove,Country_Peru,peach
raspberry,cola,baker.s.chocolate,Country_Brazil/Ethiopia,Country_Ethiopia/Sumatra/Peru,Process_Natural
raw.honey,papaya,plum,black.tea,Country_Colombia,caturra
raw.sugar,raw.sugar,almond,Country_Peru,typica,caturra
red.apple,cacao,sugar.cane,typica,Country_Colombia,Roast_NA
red.berries,tomato,round,baitan,ruiru.11,sl28
red.bourbon,custard,black.tea,semi.sweet.chocolate,peach.ice.cream,almond.cake
red.catuai,chocolate.fudge,cinnamon,molasses,Process_Natural,Roast_NA
red.cherry,mixed.nuts,sweet.cocoa,Country_NA,Process_Various,Roast_NA
red.currant,graham.cracker,Country_Burundi,honey,Roast_Light-Medium,sl28
red.grape,candied.sweetness,Country_Costa Rica,vanilla,catuai,Roast_NA
red.wine,Country_Mexico,dark.chocolate,blackberry,typica,bourbon
rich,full.bodied,Country_Central & South America,Process_Various,chocolate,bourbon
ripe.fruit,berry.fruit,nut,spice,milk.chocolate,Country_Peru
ripe.plum,cherry.cola,colombia,Country_Colombia,Roast_Light,Process_Washed
roasted.almonds,roasted.almonds,tangerine,Country_NA,Process_Various,Roast_Medium
round,tomato,round,baitan,ruiru.11,sl28
ruiru.11,baitan,sl28,sl34,Country_Kenya,apricot
semi.sweet.chocolate,red.bourbon,black.tea,Country_Burundi,lemon,Roast_Light-Medium
shortbread.cookie,creamy,Country_Mexico,dried.fruit,typica,bourbon
sidra,tropical.fruits,berry,kiwi,Country_Ecuador,Roast_Light
silky,figs,silky,Country_Rwanda,Process_Natural,bourbon
sl28,sl34,Country_Kenya,ruiru.11,baitan,black.currant
sl34,sl34,Country_Kenya,ruiru.11,baitan,black.currant
smooth,dried.cherry,Roast_Medium-Dark,castillo,colombia,caramel
sparkling.cider,raw.sugar,almond,Country_Peru,typica,caturra
spice,Process_Pulped Natural/Honey,citrus,ripe.fruit,Country_Burundi,fruity
strawberry,honeydew,yuzu,Process_Lactic Acid,Process_Natural,heavy
sudan.rume,honeysuckle,orange,cherry,Country_Colombia,Process_Natural
sugar,sugar,Country_Mexico,cherry,typica,Roast_NA
sugar.cane,cacao,sugar.cane,typica,Country_Colombia,Roast_NA
sweet,mixed.berry,Country_Congo,pineapple,dark.chocolate,Roast_Medium
sweet.cocoa,mixed.nuts,sweet.cocoa,Country_NA,Process_Various,Roast_NA
syrup,Country_Colombia/Ethiopia/Kenya,blend,fruity,milk.chocolate,Roast_Light-Medium
tangerine,bittersweet.chocolate,roasted.almonds,nougat,Roast_Medium,Country_El Salvador
toasted.marshmallow,Country_Uganda/Papua New Guinea/Sumatra,graham.cracker,blend,Roast_Medium-Dark,cocoa
toffee,Country_Colombia/Honduras/Guatemala,various,dried.fruit,milk.chocolate,Roast_Medium
tomato,tomato,round,baitan,ruiru.11,sl28
tropical.fruit,tropical.fruit,brown.sugar,citrus,Country_Ethiopia,Roast_Light
tropical.fruits,tropical.fruits,berry,kiwi,Country_Ecuador,Roast_Light
typica,Country_Mexico,Country_Peru,Process_Washed,bourbon,caturra
vanilla,gesha.1931,marsellesa,maracaturra,citrus,red.grape
various,golden.raisin,toffee,Country_Colombia/Honduras/Guatemala,Country_Ethiopia/Sumatra/Peru,"Country_Ethiopia/Uganda
"
villalobos,cranberry,dark.chocolate,lemon,Country_Colombia,caturra
walnut,mundo.novo,fudge,walnut,Country_Papua New Guinea,black.cherry
watermelon,watermelon,nectarine,honeysuckle,Country_Ethiopia,Roast_Light-Medium
white.cherry,white.cherry,bergamot,jasmine,Country_Costa Rica,Process_Honey
wild.berries,cocoa.butter,blueberry,cherry,caramel,Country_Colombia
yellow.bourbon,honeycomb,clove,fig,Process_Natural,Roast_Medium-Dark
yuzu,jasmine,strawberry,heirloom,Country_Ethiopia,Process_Natural
