Descriptor,Sim_1,Sim_2,Sim_3
sl28,sl34,Country_Kenya,ruiru.11
sl34,sl34,Country_Kenya,ruiru.11
sudan.rume,blood.orange,honeysuckle,cherry
gesha,hyacinth,white.peach,tropical.mango
sidra,tropical.fruits,kiwi,red.berries
gesha.1931,sweet.vanilla,ripe.fruit,citrus
heirloom,Country_Ethiopia,citrus,strawberry
castillo,caturra,colombia,almond.toffee
catuai,vanilla,red.grape,candied.sweetness
pacamara,Country_El Salvador,key.lime.pie,fig.preserves
landraces,watermelon,nectarine,honeysuckle
pacas,lychee,orange.blossom,Country_Honduras
gesha.m2,white.cherry,bergamot,jasmine
colombia,Country_Colombia,castillo,almond.toffee
red.bourbon,custard,black.tea,semi.sweet.chocolate
typica,Country_Mexico,Country_Peru,Process_Washed
bourbon,Process_Washed,typica,Roast_Light-Medium
caturra,Country_Colombia,castillo,Process_Washed
villalobos,meyer.lemon,cranberry,dark.chocolate
marsellesa,sweet.vanilla,Country_Mexico,citrus
ruiru.11,baitan,sl28,sl34
illubabor.forest,tropical.fruit,brown.sugar,citrus
maracaturra,Country_Nicaragua,sweet.vanilla,ripe.fruit
red.catuai,chocolate.fudge,cinnamon,molasses
catimor,lime,castillo,milk.chocolate
catuai..red.,maple,lemon.zest,Country_Costa Rica
various,golden.raisin,winey.blueberry,toffee
baitan,ruiru.11,juicy,tomato
blend,dark.cherry,syrup,toasted.marshmallow
pink.bourbon,sweet.pomelo,dark.honey,floral
java,raisin,clove,peach
yellow.bourbon,honeycomb,fig,clove
arusha,mundo.novo,fudge,walnut
mundo.novo,mundo.novo,fudge,walnut
blueberry,wild.berries,cocoa.butter,black.currant
black.currant,sl28,sl34,Country_Kenya
cherry,sudan.rume,catuai..red.,blood.orange
honeysuckle,sudan.rume,landraces,blood.orange
blood.orange,blood.orange,honeysuckle,cherry
pineapple,hyacinth,white.peach,mixed.berry
hyacinth,white.peach,pineapple,gesha
white.peach,white.peach,pineapple,gesha
tropical.mango,rainer.cherry,and.jasmine,gesha
rainer.cherry,rainer.cherry,and.jasmine,gesha
and.jasmine,rainer.cherry,and.jasmine,gesha
kiwi,sidra,tropical.fruits,red.berries
tropical.fruits,tropical.fruits,kiwi,red.berries
red.berries,sidra,tropical.fruits,tomato
ripe.fruit,spice,citrus,sweet.vanilla
citrus,sweet.vanilla,ripe.fruit,Country_Ethiopia
sweet.vanilla,gesha.1931,marsellesa,maracaturra
honey,clementine,fresh.butter,green.apple
hazelnut,dried.cherry,Country_Ecuador,blueberry
blackberry,pacas,clover.honey,lychee
lavender,clover.honey,kiwi,gesha
clover.honey,lavender,gesha,blackberry
honeydew,Process_Lactic Acid,strawberry,castillo
strawberry,honeydew,yuzu,Process_Lactic Acid
caramel,Process_NA,Country_Colombia,caturra
grape,heavy,clementine,strawberry
heavy,Country_Brazil/Colombia/Honduras,black.cherry,grape
dark.chocolate,villalobos,key.lime.pie,meyer.lemon
almond,key.lime.pie,sparkling.cider,raw.sugar
key.lime.pie,almond,pacamara,dark.chocolate
spice,Process_Pulped Natural/Honey,ripe.fruit,citrus
red.grape,candied.sweetness,vanilla,Country_Costa Rica
vanilla,red.grape,candied.sweetness,butterscotch
candied.sweetness,candied.sweetness,vanilla,Country_Costa Rica
watermelon,watermelon,nectarine,honeysuckle
nectarine,watermelon,nectarine,honeysuckle
sweet.lemon,hops,heirloom,Country_Ethiopia
hops,hops,heirloom,Country_Ethiopia
sugary.fruit,raw.chocolate,Country_South America/Africa,Process_Various
raw.chocolate,raw.chocolate,Country_South America/Africa,Process_Various
lychee,lychee,orange.blossom,Country_Honduras
orange.blossom,pacas,lychee,fresh.butter
jasmine,gesha.m2,white.cherry,bergamot
white.cherry,white.cherry,bergamot,jasmine
bergamot,white.cherry,bergamot,jasmine
overripe.strawberry,red.grapefruit,colombia,caramel
red.grapefruit,red.grapefruit,colombia,caramel
orange,custard,pear,fig
fig,custard,honeycomb,yellow.bourbon
custard,orange,fig,Country_Rwanda
shortbread.cookie,creamy,Country_Mexico,dried.fruit
dried.fruit,almond.toffee,castillo,shortbread.cookie
creamy,creamy,Country_Mexico,dried.fruit
chocolate,rich,full.bodied,dark.cherry
meyer.lemon,meyer.lemon,cranberry,dark.chocolate
cranberry,villalobos,meyer.lemon,pomegranate
fig.preserves,pacamara,plum,Country_El Salvador
plum,fig.preserves,apricot,bergamot.tea
cocoa,dates,orange.zest,pecans
dates,orange.zest,pecans,cocoa
orange.zest,orange.zest,pecans,cocoa
pecans,orange.zest,pecans,cocoa
red.currant,graham.cracker,Country_Burundi,honey
fruity,syrup,Country_Colombia/Ethiopia/Kenya,blend
peach,java,pear,and.floral
pear,orange,Process_Honey,peach
apple,darjeeling.tea,pacamara,lemon
raspberry,cola,baker.s.chocolate,Country_Brazil/Ethiopia
lemon,semi.sweet.chocolate,yellow.bourbon,apple
rich.chocolate,creamy.hazelnut,Country_Honduras,Process_Washed
creamy.hazelnut,creamy.hazelnut,Country_Honduras,Process_Washed
milk.chocolate,Country_Peru,Process_Washed,marsellesa
sweet,mixed.berry,Country_Congo,pineapple
apricot,bergamot.tea,ruiru.11,plum
bergamot.tea,bergamot.tea,ruiru.11,plum
molasses,red.catuai,chocolate.fudge,cinnamon
almond.toffee,dried.fruit,castillo,colombia
tropical.fruit,tropical.fruit,brown.sugar,citrus
brown.sugar,illubabor.forest,tropical.fruit,pecan
nougat,black.currant,tangerine,sl28
brown.apple,sugar,Country_Mexico,cherry
sugar,sugar,Country_Mexico,cherry
sparkling.cider,raw.sugar,almond,Country_Peru
raw.sugar,raw.sugar,almond,Country_Peru
chocolate.fudge,chocolate.fudge,cinnamon,molasses
cinnamon,chocolate.fudge,cinnamon,molasses
black.tea,red.bourbon,and.floral,semi.sweet.chocolate
lime,catimor,floral,orange.peel
orange.peel,dark.cherry,Country_Central & South America,blend
rich,full.bodied,Country_Central & South America,Process_Various
full.bodied,full.bodied,Country_Central & South America,Process_Various
pomegranate,lemongrass,cranberry,blackberry
lemongrass,lemongrass,cranberry,blackberry
lemon.zest,catuai..red.,maple,golden.raisin
maple,maple,lemon.zest,Country_Costa Rica
pecan,brown.sugar,Country_El Salvador,catuai
yuzu,jasmine,strawberry,heirloom
golden.raisin,winey.blueberry,"Country_Ethiopia/Uganda
",various
winey.blueberry,winey.blueberry,"Country_Ethiopia/Uganda
",various
fresh.butter,orange.blossom,honey,Country_Guatemala
juicy,baitan,ruiru.11,floral
floral,pink.bourbon,lime,juicy
dark.cherry,orange.peel,blend,Country_Panama
dried.papaya,raisin,Country_Peru,milk.chocolate
raisin,java,dried.papaya,clove
green.grape,figs,silky,Country_Rwanda
figs,figs,silky,Country_Rwanda
silky,figs,silky,Country_Rwanda
sweet.pomelo,sweet.pomelo,dark.honey,floral
dark.honey,sweet.pomelo,dark.honey,floral
syrup,Country_Colombia/Ethiopia/Kenya,fruity,blend
red.apple,cacao,sugar.cane,typica
cacao,cacao,sugar.cane,typica
sugar.cane,cacao,sugar.cane,typica
dried.cherry,smooth,hazelnut,Country_Ecuador
smooth,dried.cherry,Roast_Medium-Dark,castillo
grapefruit,jammy,sl28,sl34
jammy,jammy,sl28,sl34
tangerine,bittersweet.chocolate,roasted.almonds,nougat
and.floral,peach,black.tea,citrus
berry.fruit.and.milk.chocolate,ripe.fruit,Country_NA,Roast_Medium
semi.sweet.chocolate,lemon,red.bourbon,black.tea
earl.grey,graham.cracker,peach,heirloom
graham.cracker,earl.grey,toasted.marshmallow,Country_Uganda/Papua New Guinea/Sumatra
clove,java,yellow.bourbon,raisin
bittersweet.chocolate,roasted.almonds,tangerine,Country_NA
roasted.almonds,roasted.almonds,tangerine,Country_NA
red.wine,Country_Mexico,dark.chocolate,blackberry
tomato,round,baitan,red.berries
round,round,baitan,red.berries
cola,baker.s.chocolate,Country_El Salvador,raspberry
baker.s.chocolate,baker.s.chocolate,Country_El Salvador,raspberry
raw.honey,papaya,plum,black.tea
papaya,papaya,plum,black.tea
red.cherry,mixed.nuts,sweet.cocoa,Country_NA
mixed.nuts,mixed.nuts,sweet.cocoa,Country_NA
sweet.cocoa,mixed.nuts,sweet.cocoa,Country_NA
nut,Country_Peru,ripe.fruit,catuai
peach.ice.cream,almond.cake,red.bourbon,plum
almond.cake,almond.cake,red.bourbon,plum
clementine,green.apple,honey,grape
honeycomb,yellow.bourbon,fig,cocoa
wild.berries,cocoa.butter,blueberry,cherry
cocoa.butter,cocoa.butter,blueberry,cherry
toffee,Country_Colombia/Honduras/Guatemala,various,dried.fruit
darjeeling.tea,apple,citrus,heirloom
butterscotch,vanilla,lemon.zest,Country_Guatemala
toasted.marshmallow,Country_Uganda/Papua New Guinea/Sumatra,graham.cracker,blend
green.apple,clementine,honey,Country_NA
fruit.preserves,Process_NA,Country_NA,chocolate
black.cherry,arusha,mundo.novo,fudge
ripe.plum,cherry.cola,colombia,Country_Colombia
cherry.cola,cherry.cola,colombia,Country_Colombia
fudge,mundo.novo,fudge,walnut
walnut,mundo.novo,fudge,walnut
mixed.berry,Country_Congo,pineapple,sweet
Country_Brazil/Colombia,molasses,dark.chocolate,castillo
Country_Brazil/Colombia/Honduras,heavy,black.cherry,Process_NA
Country_Brazil/Ethiopia,Process_NA,raspberry,caramel
Country_Burundi,red.bourbon,black.tea,semi.sweet.chocolate
Country_Central & South America,rich,full.bodied,orange.peel
Country_Colombia,caturra,colombia,castillo
Country_Colombia/Ethiopia/Kenya,Country_Colombia/Ethiopia/Kenya,fruity,blend
Country_Colombia/Honduras/Guatemala,Country_Colombia/Honduras/Guatemala,various,dried.fruit
Country_Congo,Country_Congo,pineapple,sweet
Country_Costa Rica,Process_Honey,gesha.m2,catuai..red.
Country_Ecuador,sidra,tropical.fruits,kiwi
Country_El Salvador,pacamara,key.lime.pie,fig.preserves
Country_Ethiopia,heirloom,citrus,Roast_Light
Country_Ethiopia/Sumatra/Peru,various,molasses,Roast_Medium-Dark
"Country_Ethiopia/Uganda
",winey.blueberry,"Country_Ethiopia/Uganda
",various
Country_Guatemala,gesha,java,hyacinth
Country_Honduras,pacas,lychee,rich.chocolate
Country_Kenya,sl34,Country_Kenya,ruiru.11
Country_Mexico,typica,marsellesa,shortbread.cookie
Country_Nicaragua,Country_Nicaragua,sweet.vanilla,ripe.fruit
Country_Panama,tropical.mango,rainer.cherry,and.jasmine
Country_Papua New Guinea,mundo.novo,fudge,walnut
Country_Peru,sparkling.cider,raw.sugar,dried.papaya
Country_Rwanda,custard,green.grape,figs
Country_South America/Africa,raw.chocolate,Country_South America/Africa,Process_Various
Country_Uganda/Papua New Guinea/Sumatra,Country_Uganda/Papua New Guinea/Sumatra,graham.cracker,blend
Country_NA,berry.fruit.and.milk.chocolate,bittersweet.chocolate,roasted.almonds
Process_Honey,Country_Costa Rica,gesha.m2,catuai..red.
Process_Lactic Acid,Process_Lactic Acid,strawberry,castillo
Process_Natural,strawberry,Country_Panama,yellow.bourbon
Process_Pulped Natural/Honey,spice,ripe.fruit,citrus
Process_Various,various,sugary.fruit,raw.chocolate
Process_Washed,Roast_Light-Medium,caturra,bourbon
Process_NA,caramel,fruit.preserves,Country_Brazil/Colombia/Honduras
Roast_Light,Process_Washed,citrus,Country_Ethiopia
Roast_Light-Medium,Process_Washed,bourbon,sl28
Roast_Medium,Process_Washed,caturra,cherry
Roast_Medium-Dark,smooth,toasted.marshmallow,Country_Ethiopia/Sumatra/Peru
Roast_NA,Process_Washed,almond.toffee,typica
